Date,Location,Temperature (°C),CO2 (ppm),Precipitation (mm),Wind Speed (m/s)
2023-01-24,Site D,46.071196085767504,972.8070735197052,88.14687361516141,23.479969284503227
2023-02-21,Site B,-37.32688547850176,885.8272652511381,17.865227096831696,-7.101279579274839
2023-03-11,Site B,27.09312803610682,773.2410132329044,-83.45661795452659,10.652270825469179
2023-01-20,Site C,-15.82069431164873,-167.40665987246132,-25.64826588178109,13.232638071512365
2023-02-12,Site B,133.03036887693355,189.4647384043126,11.614807908820248,-6.222371649062791
2023-02-10,Site C,67.34019885092158,175.28102046052365,66.54406639860427,8.849904671866655
2023-02-09,Site C,42.845841236357955,277.5781804116215,0.36531863703161127,2.075982612857199
2023-02-19,Site B,15.665011587175242,257.35997730702275,-26.733137092503195,8.767546499523254
2023-03-02,Site C,63.015174674242175,822.2063265443895,119.45179786962312,0.12146509073225323
2023-01-07,Site A,6.969234115881521,-132.6393254960459,-70.32026335907744,-13.26831766135897
2023-02-05,Site A,25.379648451513976,-200.29309150388804,12.860374549005341,0.7097241563974601
2023-03-13,Site B,,415.63783359273924,83.06508653040771,-4.467735117899077
2023-02-04,Site B,44.21783967306499,642.0890296830978,15.222455993542628,6.868485127659709
2023-02-13,Site D,-17.213678177358155,600.2548093402844,8.809046102616067,-3.5548864091635974
2023-02-16,Site D,-34.656266050699095,963.7489359876973,8.251139905466927,3.620139119424706
2023-02-14,Site D,1.0476563494679567,819.737274913396,-57.628268583000754,9.520110938466946
2023-03-03,Site C,21.144365288419145,946.2975476813905,92.17068791602667,9.309340839740791
2023-01-15,Site D,,91.38085657397022,-22.62311161723346,-12.949424744798598
2023-01-16,Site A,-40.415297473791064,160.3258008470524,38.8524897451804,-1.0511850474641373
2023-02-15,Site D,12.869756938383885,586.9016726006131,-75.0384196603587,14.52550247462371
2023-02-25,Site D,0.05959220860970049,897.6818586410496,-16.740862369736686,11.619373177467747
2023-01-25,Site D,46.30163155380665,982.3423876451845,11.547686147256643,4.049755087705251
2023-01-29,Site D,-37.78536513416189,127.95538300850302,43.62235788302266,6.471626967870439
2023-02-08,Site A,49.05372368145256,629.2466971827807,71.86781641667636,-4.864327660523606
2023-01-12,Site C,56.77739034988111,351.7717869941313,-6.863590854890804,18.720056804723043
2023-03-15,Site B,9.187868207712713,2.6986627280336393,-15.89234532552917,-11.96660469213522
2023-03-09,Site A,4.781656521103297,920.7752850817559,-31.428487373785323,-6.130946829083779
2023-02-23,Site D,41.029894931992935,-40.21577022229894,4.00993562704073,-12.205701042818545
2023-01-30,Site D,53.48764415246871,765.4231737538787,53.30992720488691,1.2609482782402903
2023-01-22,Site A,19.705010891980766,697.913385150162,4.62394357755485,-4.656647712545464
2023-01-02,Site D,-7.244590909612377,-560.0417199380807,-11.979725409690479,-16.122273071745234
2023-03-07,Site B,2.1260996553533555,-158.6926239042386,22.103700843336572,8.53974711067856
2023-03-12,Site B,,-40.43849049071855,-38.590953887837756,-17.92045100135215
2023-01-08,Site A,28.627211963964314,-96.66378073143574,-1.7264828047404233,18.43715797751846
2023-02-26,Site D,32.55069160336818,451.82972127449364,78.01900705664396,15.528597758393257
2023-03-01,Site A,26.00795135521101,-197.58470156165754,-63.543590343801995,2.616230559724664
2023-02-03,Site B,-16.437277880948738,185.50731642535578,-30.195218624226435,21.113176416162517
2023-02-01,Site A,0.6365841959794842,743.1152370359207,69.10023020859715,12.805407616774637
2023-02-11,Site C,26.836343819766192,-48.4805682229819,49.41013052520559,-4.645297486449678
2023-01-04,Site C,9.338561476086767,981.7814323966821,26.898000184599784,12.664068553728749
2023-01-13,Site C,22.65234106188519,564.9893447450872,-6.20661944408298,-0.19442140899548194
2023-01-27,Site B,7.749193846339901,-46.2883683383962,52.871175443118815,-2.0245752583155117
2023-01-09,Site C,-29.279168987292472,396.05645714735005,-48.150781303306324,-7.307414032296535
2023-01-14,Site C,45.86163636320137,233.43710986749926,37.01704089738693,-9.325916565610811
2023-03-05,Site A,38.55939259708913,-79.52376788263922,41.43829888024374,9.491429877809983
2023-03-10,Site D,-77.93116166472146,541.0188098254027,-22.224937210959133,19.123176398399707
2023-01-19,Site D,-32.133733407647114,695.2835774178818,-46.3023309605739,15.430676518590838
2023-03-08,Site D,59.58067670488446,696.4898119688571,52.400987199747604,-2.710404622885425
2023-01-10,Site B,53.21972925251849,155.32582375339405,48.85900004065366,-12.7991973326313
2023-02-20,Site C,-3.7045758785726832,-298.0186514577091,-89.42482524902483,5.517370104650744
2023-02-06,Site D,-21.32404567804187,591.3512145719294,1.1965907232918476,4.393271401034342
2023-01-23,Site B,35.37429781495637,-10.82252950736222,31.50374693005038,0.5850890230684416
2023-02-22,Site C,-12.624041504427204,934.7285664190193,-20.726590269494576,-17.87671611931782
2023-01-03,Site A,-20.754326813645925,-74.37556381026809,60.4690985343317,9.453816900875673
2023-02-07,Site A,12.34686892401351,-61.610919067574855,43.59569944061964,-1.0849788856351315
2023-02-27,Site A,55.53653285262097,731.3306446594875,6.427550003554057,-4.395178754742773
2023-01-31,Site A,8.77937575552707,1117.972229155308,-47.95040482133894,-18.973769824886578
2023-02-22,Site C,-12.624041504427204,934.7285664190193,-20.726590269494576,-17.87671611931782
2023-01-17,Site D,42.079514589178864,502.91943388398965,52.27855841731584,-19.949615715576492
2023-01-28,Site B,-6.8217088244736,384.6027268630571,2.5680429739817683,0.6089660711716038
2023-01-06,Site D,14.80652481879558,-403.0770798956005,4.688271507597338,16.513509864794898
2023-02-24,Site C,7.574350240093072,627.9383804800152,-44.656013681461154,-6.6920272818121305
2023-02-17,Site C,51.48720660687973,1492.6232223211996,-42.79644589146841,5.813141340357241
2023-01-21,Site B,-24.569330663854842,1.0987523193751372,35.50546201819768,-1.284121465397082
2023-01-01,Site C,25.186190044176378,446.72247354263976,43.933677409544785,3.177670324371186
2023-02-08,Site A,49.05372368145256,629.2466971827807,71.86781641667636,-4.864327660523606
2023-03-14,Site A,30.85277142867283,-266.44197552233345,-16.71235455751838,12.049229217785742
2023-01-27,Site B,7.749193846339901,-46.2883683383962,52.871175443118815,-2.0245752583155117
2023-02-28,Site C,23.999090451969778,428.6748553961621,27.478817253133364,-4.079153527712958
2023-03-04,Site A,4.174900874439782,680.5254791960206,68.17177454758522,-5.231880935871098
2023-01-26,Site B,,976.5465890713563,-40.446844569518056,9.097381749598169
2023-01-11,Site C,112.24095645433542,53.36796390358495,2.099003223501146,-2.37391961206669
2023-02-18,Site B,46.623637171904484,203.97906897699804,-1.9818071019809584,-6.297008572651128
2023-01-18,Site D,-3.834958158203591,346.6789325249421,-17.10708563026906,-13.001928415934398
2023-03-06,Site C,,11.969258901232195,0.7571639129932143,-2.3922479786975517
2023-02-02,Site D,56.29007206452453,354.1149555830618,45.25609799782796,-6.151336777713306
2023-01-05,Site C,-3.6777081344870375,341.6521379697619,136.72110795308708,3.7729626546040915
